,Style_Color,ds,y
23908,DTA6E4227WG,2017-12-04,120
23909,DTA6E4227WG,2017-12-18,1
23910,DTA6E4227WG,2017-12-25,60
23911,DTA6E4227WG,2018-01-01,168
23912,DTA6E4227WG,2018-01-08,24
23913,DTA6E4227WG,2018-01-15,12
23914,DTA6E4227WG,2018-01-22,35
23915,DTA6E4227WG,2018-02-12,96
23916,DTA6E4227WG,2018-02-26,48
23917,DTA6E4227WG,2018-03-05,36
23918,DTA6E4227WG,2018-03-19,12
23919,DTA6E4227WG,2018-04-02,36
23920,DTA6E4227WG,2018-04-09,48
23921,DTA6E4227WG,2018-04-16,12
23922,DTA6E4227WG,2018-04-23,24
23923,DTA6E4227WG,2018-04-30,12
23924,DTA6E4227WG,2018-05-07,204
23925,DTA6E4227WG,2018-05-14,48
23926,DTA6E4227WG,2018-06-04,12
23927,DTA6E4227WG,2018-06-11,48
23928,DTA6E4227WG,2018-06-18,108
23929,DTA6E4227WG,2018-06-25,24
23930,DTA6E4227WG,2018-07-02,12
23931,DTA6E4227WG,2018-07-09,60
23932,DTA6E4227WG,2018-07-23,60
23933,DTA6E4227WG,2018-07-30,12
23934,DTA6E4227WG,2018-08-06,180
23935,DTA6E4227WG,2018-08-13,12
23936,DTA6E4227WG,2018-09-03,12
23937,DTA6E4227WG,2018-09-10,24
26687,DTA6N4227RH,2017-10-23,84
26688,DTA6N4227RH,2017-10-30,84
26689,DTA6N4227RH,2017-11-13,12
26690,DTA6N4227RH,2017-11-27,24
26691,DTA6N4227RH,2017-12-04,96
26692,DTA6N4227RH,2017-12-18,12
26693,DTA6N4227RH,2017-12-25,60
26694,DTA6N4227RH,2018-01-01,84
26695,DTA6N4227RH,2018-01-08,60
26696,DTA6N4227RH,2018-01-15,12
26697,DTA6N4227RH,2018-01-22,12
26698,DTA6N4227RH,2018-01-29,48
26699,DTA6N4227RH,2018-02-12,12
26700,DTA6N4227RH,2018-02-26,72
26701,DTA6N4227RH,2018-03-05,12
26702,DTA6N4227RH,2018-03-12,72
26703,DTA6N4227RH,2018-03-19,72
26704,DTA6N4227RH,2018-04-30,96
26705,DTA6N4227RH,2018-05-07,36
26706,DTA6N4227RH,2018-05-14,24
26707,DTA6N4227RH,2018-05-21,24
26708,DTA6N4227RH,2018-05-28,72
26709,DTA6N4227RH,2018-06-04,12
26710,DTA6N4227RH,2018-06-11,24
26711,DTA6N4227RH,2018-07-02,12
26712,DTA6N4227RH,2018-07-23,72
26713,DTA6N4227RH,2018-07-30,36
26714,DTA6N4227RH,2018-08-06,60
26715,DTA6N4227RH,2018-08-27,12
26716,DTA6N4227RH,2018-09-24,72
28447,DTA6N8502GRY,2017-07-03,120
28448,DTA6N8502GRY,2017-07-10,120
28449,DTA6N8502GRY,2017-07-17,144
28450,DTA6N8502GRY,2017-07-24,24
28451,DTA6N8502GRY,2017-07-31,72
28452,DTA6N8502GRY,2017-08-07,108
28453,DTA6N8502GRY,2017-08-14,60
28454,DTA6N8502GRY,2017-08-21,60
28455,DTA6N8502GRY,2017-08-28,60
28456,DTA6N8502GRY,2017-09-04,96
28457,DTA6N8502GRY,2017-09-11,12
28458,DTA6N8502GRY,2017-09-18,96
28459,DTA6N8502GRY,2017-09-25,12
28460,DTA6N8502GRY,2017-10-02,24
28461,DTA6N8502GRY,2017-10-09,36
28462,DTA6N8502GRY,2017-10-16,60
28463,DTA6N8502GRY,2017-10-30,9
28464,DTA6N8502GRY,2017-11-13,12
28465,DTA6N8502GRY,2017-11-20,24
28466,DTA6N8502GRY,2017-11-27,36
28467,DTA6N8502GRY,2017-12-04,60
28468,DTA6N8502GRY,2017-12-11,48
28469,DTA6N8502GRY,2017-12-18,36
28470,DTA6N8502GRY,2017-12-25,12
28471,DTA6N8502GRY,2018-01-01,59
28472,DTA6N8502GRY,2018-01-08,84
28473,DTA6N8502GRY,2018-01-22,36
28474,DTA6N8502GRY,2018-01-29,36
28475,DTA6N8502GRY,2018-03-19,12
28476,DTA6N8502GRY,2018-05-28,12
28477,DTA6N8502GRY,2018-06-18,12
28478,DTA6N8502IV,2017-07-03,60
28479,DTA6N8502IV,2017-07-10,36
28480,DTA6N8502IV,2017-07-17,108
28481,DTA6N8502IV,2017-07-24,12
28482,DTA6N8502IV,2017-07-31,36
28483,DTA6N8502IV,2017-08-07,24
28484,DTA6N8502IV,2017-08-14,48
28485,DTA6N8502IV,2017-08-21,24
28486,DTA6N8502IV,2017-09-04,48
28487,DTA6N8502IV,2017-09-11,48
28488,DTA6N8502IV,2017-09-18,12
28489,DTA6N8502IV,2017-09-25,36
28490,DTA6N8502IV,2017-10-02,12
28491,DTA6N8502IV,2017-10-09,11
28492,DTA6N8502IV,2017-11-06,12
28493,DTA6N8502IV,2017-11-13,36
28494,DTA6N8502IV,2017-11-20,36
